Account Number,First name,Middle Name,Last name,Date of birth,Joint account or not,Joint Account Number
1234500037,Demian,Jane,Filomena,1976-10-05,no,
1234500038,Mattia,David,Ferraro,1986-02-07,no,
1234500039,Emidio,Rose,Bruno,1976-01-05,no,
1234500040,Sig.,William,Ferretti,1997-06-13,yes,1234556964
1234500041,Anastasio,Louise,D'angelo,1987-03-10,no,
1234500042,Dott.,Jane,Silvestri,1992-06-14,yes,1234559180
1234500043,Deborah,Grace,Silvestri,1986-04-30,yes,1234553822
1234500044,Sabatino,David,Sanna,1975-01-02,no,
1234500045,Kai,Thomas,Ricci,1997-12-13,yes,1234559787
1234500046,Ethan,David,Sirio,1996-11-08,yes,1234553450
1234500047,Dott.,Thomas,Pellegrini,1995-07-23,no,
1234500048,Moreno,James,Barbieri,1984-01-31,no,
1234500049,Sig.ra,Louise,Gastone,1997-08-14,no,
1234500050,Hector,Grace,De,1982-05-10,no,
1234500051,Mecren,Rose,Eriberto,1981-01-03,no,
1234500052,Marcella,Grace,Costantini,1980-05-12,yes,1234551584
1234500053,Flavio,William,Grassi,1996-11-13,yes,1234551785
1234500054,Rosalino,James,Serra,1986-11-17,no,
1234500055,Nick,Jane,Rocco,1980-09-11,no,
1234500056,Clodovea,Grace,Grassi,1996-06-01,no,
1234500057,Emilia,John,Galli,1989-05-25,yes,1234553718
1234500058,Isabel,Rose,Fabbri,1986-01-08,no,
1234500059,Flavio,William,Rossi,1993-08-07,no,
1234500060,Costanzo,James,Pellegrini,1991-02-21,no,
1234500061,Sig.ra,James,Carbone,1998-09-18,no,
1234500062,Pacifico,John,Milani,1987-01-02,no,
1234500063,Nico,Louise,Fabbri,1980-09-30,no,
1234500064,Raoul,William,Piersilvio,1976-05-23,no,
1234500065,Alighiero,James,Messina,1977-10-04,no,
1234500066,Carmelo,John,Milani,1997-12-30,no,
1234500067,Sig.ra,Thomas,Basile,1979-04-16,no,
1234500068,Pierfrancesco,Grace,Marchetti,1978-05-10,no,
1234500069,Noemi,Jane,Miriana,1978-10-09,no,
1234500070,Rocco,Grace,Russo,1992-09-12,no,
1234500071,Sandro,Louise,Palumbo,1992-12-19,no,
1234500072,Vitalba,David,Azue,1989-04-28,no,
1234500073,Caio,James,Gentile,1977-01-14,no,
1234500074,Jack,Grace,Sala,1990-08-08,no,
1234500075,Carmela,William,Guerra,1994-11-16,no,
1234500076,Edipo,Louise,Bianchi,1991-08-20,no,
1234500077,Pierfrancesco,Thomas,Costantini,1991-02-25,yes,1234558970
1234500078,Sig.,Rose,Amato,1981-11-11,no,
1234500079,Erminia,Grace,De,1985-05-13,yes,1234555730
1234500080,Gastone,John,Basile,1990-02-24,no,
1234500081,Dott.,Rose,Leonardo,1988-06-24,no,
1234500082,Sig.ra,David,Gentile,1998-03-28,no,
1234500083,Giulio,William,Thea,1990-02-20,no,
1234500084,Liborio,James,Gianleonardo,1988-11-12,yes,1234558686
1234500085,Dott.,David,Costantini,1985-11-27,no,
1234500086,Dott.,Jane,Elda,1977-12-17,yes,1234551052
1234500087,Sig.ra,John,Leone,1998-06-09,no,
1234500088,Evangelista,David,Conte,1989-07-27,yes,1234554046
1234500089,Michele,William,Gallo,1998-06-23,yes,1234553815
1234500090,Sig.ra,Rose,Greco,1989-03-12,yes,1234551467
1234500091,Marina,David,Ferrara,1976-02-08,no,
1234500092,Piererminio,Rose,Radames,1998-08-07,yes,1234559465
1234500093,Sarita,John,Gallo,1981-06-01,no,
1234500094,Lorenzo,Louise,Gianleonardo,1975-03-25,yes,1234553145
1234500095,Giulio,James,Longo,1988-07-31,yes,1234551926
1234500096,Flavio,David,Esposito,1983-09-30,no,
1234500097,Giuliano,William,Fiore,1979-04-18,no,
1234500098,Sig.ra,James,Leone,1994-07-08,yes,1234556067
1234500099,Lino,Jane,Pellegrini,1991-03-08,no,
1234500100,Arturo,Rose,Ursula,1996-01-25,no,
1234500101,Yago,James,Pellegrini,1986-04-25,no,
1234500102,Sig.,Grace,Negri,1986-05-22,no,
1234500103,Gianriccardo,David,Negri,1990-08-25,yes,1234557431
1234500104,Dott.,William,Ricci,1975-07-13,no,
1234500105,Dott.,James,Ruggiero,1998-08-29,yes,1234550818
1234500106,Loris,Jane,Ferri,1981-10-08,no,
1234500107,Lucia,William,Martini,1996-03-15,yes,1234557271
1234500108,Noah,Grace,Bernardi,1985-01-26,yes,1234558698
1234500109,Danthon,David,De,1994-10-23,yes,1234552272
1234500110,Sig.ra,John,Marino,1986-03-15,no,
1234500111,Sig.ra,Rose,Gabriele,1993-12-01,yes,1234554109
1234500112,Fabio,Grace,Gatti,1982-11-11,yes,1234550702
1234500113,Bortolo,Louise,Valentini,1979-05-17,no,
1234500114,Sig.,Grace,Sanna,1990-03-31,no,
1234500115,Caio,David,Vitale,1983-07-22,no,
1234500116,Dott.,Rose,Bruno,1984-04-13,yes,1234551804
1234500117,Davis,Rose,Esposito,1992-03-04,yes,1234556074
1234500118,Fernando,Rose,Danuta,1996-03-29,no,
1234500119,Giacinto,Grace,Benedetti,1979-11-20,yes,1234553837
1234500120,Erminia,David,Donati,1988-11-07,yes,1234550487
1234500121,Ninfa,John,D'angelo,1997-05-03,yes,1234552271
1234500122,Michele,Rose,Sorrentino,1984-09-16,yes,1234556898
1234500123,Tommaso,Jane,Lombardo,1978-08-15,no,
1234500124,Cassiopea,Jane,Basile,1980-11-06,no,
1234500125,Fiorentino,Rose,Pellegrini,1992-09-16,yes,1234559351
1234500126,Osea,David,Neri,1997-05-29,yes,1234552657
1234500127,Fernando,James,Morelli,1985-09-23,no,
1234500128,Morgana,Louise,Kociss,1992-05-22,yes,1234550054
1234500129,Karim,John,Testa,1997-02-23,yes,1234559491
1234500130,Sasha,Thomas,Clea,1993-08-21,yes,1234551771
1234500131,Aroldo,Jane,Sartori,1989-04-14,no,
1234500132,Quarto,Thomas,Sartori,1995-04-03,no,
1234500133,Jari,Louise,Donati,1978-08-13,yes,1234553323
1234500134,Sig.ra,Grace,Bellini,1994-06-21,no,
1234500135,Sig.ra,James,Benedetta,1978-06-27,yes,1234557618
1234500136,Giorgio,Rose,Giuliani,1977-11-27,yes,1234550680
1234500137,Ethan,James,Rizzo,1986-08-11,yes,1234558257
1234500138,Marino,Rose,Barbieri,1993-04-26,yes,1234550493
1234500139,Emilia,David,Vinicio,1995-07-23,no,
1234500140,Sig.ra,David,D'angelo,1978-04-26,yes,1234555473
1234500141,Sig.ra,Louise,Edipo,1975-06-12,yes,1234550891
1234500142,Fiorenzo,William,Giulietta,1980-02-23,no,
1234500143,Selvaggia,Thomas,Walter,1985-11-17,no,
1234500144,Azue,Thomas,Mariani,1993-04-14,yes,1234557526
1234500145,Dott.,Jane,Luna,1978-06-09,no,
1234500146,Artemide,William,Leonardo,1983-10-14,no,
1234500147,Sig.ra,Grace,Piras,1981-08-16,yes,1234551139
1234500148,Sig.,Rose,Testa,1980-12-09,yes,1234555326
1234500149,Lamberto,Grace,Martino,1993-07-03,yes,1234554599
1234500150,Giordano,Grace,Rizzi,1988-08-05,no,
1234500151,Boris,Rose,Rossetti,1996-12-28,yes,1234550422
1234500152,Gianleonardo,William,Ercole,1985-07-13,yes,1234555783
1234500153,Vania,Thomas,Villa,1992-02-03,no,
1234500154,Cirino,William,Bruno,1992-07-25,yes,1234550819
1234500155,Sig.,Louise,Vitali,1993-03-23,no,
1234500156,Ilario,William,Elio,1981-04-01,no,
1234500157,Sig.,Jane,Valentini,1981-07-30,no,
1234500158,Sig.ra,William,Assia,1995-11-15,no,
1234500159,Elsa,Grace,Orlando,1975-05-05,yes,1234559950
1234500160,Egidio,William,Coppola,1989-08-22,no,
1234500161,Moreno,Thomas,Fontana,1989-11-24,no,
1234500162,Dott.,John,Silvestri,1998-04-08,no,
1234500163,Nazzareno,Thomas,Grassi,1991-03-06,no,
1234500164,Sig.,James,Sala,1983-04-04,no,
1234500165,Loretta,Rose,Antimo,1982-10-13,no,
1234500166,Carmela,Thomas,Gallo,1993-09-22,yes,1234556797
1234500167,Sig.ra,Rose,Bellini,1991-03-19,yes,1234555196
1234500168,Ileana,Rose,Ruggiero,1997-06-21,no,
1234500169,Egisto,Thomas,Palmieri,1989-06-27,no,
1234500170,Sig.,John,Palumbo,1982-09-22,no,
1234500171,Raoul,David,Martini,1983-04-24,yes,1234553402
1234500172,Dott.,James,Basile,1980-11-09,no,
1234500173,Bibiana,John,Damico,1989-03-22,yes,1234552200
1234500174,Sig.ra,John,Negri,1978-11-17,yes,1234554492
1234500175,Sig.,Grace,Villa,1991-12-31,yes,1234552636
1234500176,Jelena,Grace,Valentini,1975-01-11,yes,1234557681
1234500177,Radames,Jane,Fabbri,1977-03-13,no,
1234500178,Noel,Jane,Costa,1986-08-14,yes,1234556430
1234500179,Erminia,William,Bianchi,1977-05-19,no,
1234500180,Isabel,Grace,D'angelo,1995-07-06,yes,1234559090
1234500181,Neri,James,Neri,1983-09-11,no,
1234500182,Violante,James,Benedetti,1983-07-22,yes,1234554137
1234500183,Gregorio,John,Serra,1981-01-23,yes,1234557404
1234500184,Piererminio,Jane,Bruno,1981-05-03,yes,1234554645
1234500185,Dott.,James,Bianchi,1983-06-15,yes,1234558653
1234500186,Sig.ra,Grace,De,1996-09-14,no,
1234500187,Fortunata,Grace,Martino,1989-02-12,yes,1234559188
1234500188,Rosaria,William,Xavier,1996-11-17,no,
1234500189,Cleros,Louise,Barbieri,1993-12-23,no,
1234500190,Lucia,Grace,Ferri,1993-04-17,yes,1234551456
1234500191,Flavio,David,Sala,1988-09-12,no,
1234500192,Sig.ra,David,Tancredi,1989-07-27,yes,1234557346
1234500193,Gabriele,Louise,Rosolino,1989-10-30,yes,1234559169
1234500194,Sig.ra,William,D'angelo,1989-01-09,no,
1234500195,Dindo,David,Donati,1976-04-12,yes,1234559050
1234500196,Sig.,Grace,Marchetti,1988-01-17,yes,1234556896
1234500197,Armando,Rose,Costantini,1996-07-26,no,
1234500198,Dott.,Louise,Romolo,1994-09-02,yes,1234557145
1234500199,Fortunata,Grace,Barone,1997-02-19,yes,1234553781
1234500200,Mauro,Thomas,Guerra,1976-12-16,no,
1234500201,Sig.ra,Louise,Ruggiero,1989-01-19,no,
1234500202,Sig.ra,William,Silvestri,1993-05-27,yes,1234552450
1234500203,Loris,John,Thea,1976-10-10,no,
1234500204,Sig.,Louise,Lucia,1994-12-13,no,
1234500205,Kristel,Thomas,Rizzi,1986-07-16,yes,1234555134
1234500206,Hector,John,Serse,1990-01-10,yes,1234555458
1234500207,Gastone,John,Maria,1980-09-13,no,
1234500208,Priamo,John,Miriam,1984-10-04,yes,1234559579
1234500209,Ulrico,David,Conti,1986-11-17,yes,1234551011
1234500210,Genziana,John,Amato,1994-09-22,no,
1234500211,Umberto,John,Luigi,1995-05-09,no,
1234500212,Xavier,Louise,De,1984-01-08,yes,1234556400
1234500213,Romolo,William,Artes,1990-09-06,yes,1234552229
1234500214,Lauro,Grace,Donati,1982-07-04,no,
1234500215,Sig.,Jane,Ricci,1983-01-18,yes,1234551837
1234500216,Ubaldo,Jane,Caruso,1992-08-07,yes,1234551297
1234500217,Ulrico,Thomas,De,1994-12-14,no,
1234500218,Naomi,Jane,Nayade,1998-12-29,no,
1234500219,Sig.,Grace,Graziano,1977-06-28,yes,1234551678
1234500220,Clea,Louise,Felicia,1989-06-30,yes,1234558921
1234500221,Lucrezia,David,Fontana,1994-07-04,no,
1234500222,Piccarda,David,Bernardi,1989-04-22,yes,1234558635
1234500223,Sig.,Thomas,Donati,1983-07-02,no,
1234500224,Rebecca,Louise,Gianleonardo,1980-11-12,yes,1234552534
1234500225,Naomi,William,Ruggiero,1978-04-22,yes,1234554893
1234500226,Genziana,Jane,Ettore,1989-09-23,no,
1234500227,Abramo,Rose,Amato,1988-04-20,yes,1234557493
1234500228,Artemide,Thomas,Battaglia,1987-02-08,no,
1234500229,Secondo,James,Antimo,1989-11-25,yes,1234558410
1234500230,Clea,Grace,Fabbri,1985-07-10,yes,1234555868
1234500231,Costantino,Grace,Leone,1988-02-22,no,
1234500232,Teseo,Rose,Bianco,1983-04-04,no,
1234500233,Sig.ra,John,Lombardi,1985-12-18,yes,1234555337
1234500234,Dott.,Rose,Guerra,1989-10-04,yes,1234552486
1234500235,Cirino,Louise,Silvestri,1986-08-17,yes,1234558434
1234500236,Assia,William,Isabel,1982-06-22,yes,1234551462
1234500237,Jack,Grace,Colombo,1986-08-04,no,
1234500238,Sig.,William,Pellegrino,1976-01-19,yes,1234552509
1234500239,Eufemia,David,Lombardi,1987-02-16,yes,1234554765
1234500240,Mattia,Rose,Guerra,1988-10-10,no,
1234500241,Iacopo,Rose,Sartori,1978-11-26,no,
1234500242,Enrico,John,Manuele,1982-09-09,yes,1234555186
1234500243,Cecco,Grace,Fiore,1976-04-09,yes,1234550574
1234500244,Cristyn,James,Milani,1978-01-30,no,
1234500245,Silvano,James,Giordano,1989-02-08,no,
1234500246,Grazia,Rose,Gregorio,1994-01-01,no,
1234500247,Alighieri,Louise,Parisi,1996-10-24,yes,1234553609
1234500248,Lamberto,John,Romano,1986-12-21,yes,1234553770
1234500249,Evangelista,Rose,Fontana,1987-08-31,no,
1234500250,Gianmaria,Jane,Coppola,1982-03-23,yes,1234559766
1234500251,Marco,David,Sarita,1991-04-02,yes,1234555221
1234500252,Brigitta,David,Martinelli,1978-05-20,no,
1234500253,Mirco,Jane,Ricci,1981-06-21,yes,1234559557
1234500254,Danny,Rose,Colombo,1986-04-11,no,
1234500255,Radames,Louise,Edvige,1978-10-29,no,
1234500256,Davis,Rose,Bianco,1994-02-10,yes,1234552062
1234500257,Dott.,William,Pericle,1976-01-09,yes,1234558986
1234500258,Ivonne,Rose,Sala,1989-03-08,no,
1234500259,Demian,John,Silvestri,1983-03-12,no,
1234500260,Thea,Jane,Cattaneo,1989-03-10,yes,1234556947
1234500261,Sig.ra,John,Gentile,1990-11-10,yes,1234557508
1234500262,Sig.,Grace,Conte,1998-12-31,no,
1234500263,Maika,John,Azue,1978-08-24,no,
1234500264,Rodolfo,Grace,Rinaldi,1981-07-30,yes,1234551344
1234500265,Giuliano,Thomas,Sanna,1997-11-29,yes,1234554990
1234500266,Ippolito,John,Conte,1992-02-11,no,
1234500267,Sig.ra,Jane,Colombo,1976-02-03,no,
1234500268,Dott.,David,Ferri,1990-02-13,no,
1234500269,Mariagiulia,James,Damico,1979-10-05,no,
1234500270,Dante,James,Basile,1977-06-30,no,
1234500271,Ortensia,Jane,Vienna,1988-06-21,no,
1234500272,Sibilla,Louise,De,1991-05-10,no,
1234500273,Domingo,Grace,Orlando,1989-06-18,yes,1234555921
1234500274,Sig.,Rose,Negri,1986-11-11,no,
1234500275,Tancredi,William,Eufemia,1996-12-25,yes,1234559660
1234500276,Isira,Thomas,Marino,1993-11-08,no,
1234500277,Piererminio,David,Irene,1994-08-06,no,
1234500278,Sig.,David,Omar,1997-03-11,yes,1234558922
1234500279,Sig.,William,Ariel,1980-11-17,no,
1234500280,Lia,Thomas,Fatima,1981-06-17,yes,1234555630
1234500281,Giovanna,Jane,Mancini,1993-09-11,no,
1234500282,Edvige,Jane,Barbieri,1983-03-16,yes,1234551353
1234500283,Leone,Louise,Vitale,1988-06-06,yes,1234558819
1234500284,Deborah,Grace,Messina,1989-01-20,yes,1234556764
1234500285,Sig.,Thomas,Negri,1986-03-20,no,
1234500286,Rosita,William,D'amico,1991-01-27,no,
1234500287,Loretta,James,Caligola,1977-03-12,yes,1234559298
1234500288,Flavio,Grace,Lucia,1983-03-06,no,
1234500289,Sig.,Louise,De,1987-10-11,yes,1234556004
1234500290,Soriana,Jane,Silvestri,1990-01-19,yes,1234559215
1234500291,Marcella,Grace,Farina,1977-02-10,yes,1234554351
1234500292,Evita,John,Bianchi,1996-08-03,no,
1234500293,Marina,Rose,Mancini,1998-07-05,yes,1234556903
1234500294,Lidia,James,Esposito,1980-08-03,no,
1234500295,Fabiano,James,Sanna,1976-12-07,yes,1234553317
1234500296,Oretta,Jane,De,1976-12-19,no,
1234500297,Gianmaria,James,Sala,1984-06-05,no,
1234500298,Giulietta,Thomas,Amedeo,1978-01-07,yes,1234558063
1234500299,Giorgio,Rose,Benedetti,1998-08-14,no,
1234500300,Violante,David,Cattaneo,1981-03-09,yes,1234559662
1234500301,Sig.,James,Mancini,1978-07-10,no,
1234500302,Gioacchino,Louise,Ricci,1986-09-25,yes,1234555781
1234500303,Muzio,James,D'amico,1978-06-29,yes,1234556881
1234500304,Ninfa,John,Rizzo,1983-04-13,no,
1234500305,Celeste,Jane,Nabil,1975-03-31,yes,1234557945
1234500306,Noah,Louise,Cesidia,1992-05-08,yes,1234551231
1234500307,Loredana,Grace,Villa,1977-08-02,yes,1234551719
1234500308,Caio,Rose,Evita,1975-02-17,no,
1234500309,Ulrico,John,Bellini,1992-11-13,yes,1234550635
1234500310,Ariel,Rose,Lombardi,1991-04-25,yes,1234551294
1234500311,Omar,William,Secondo,1987-02-04,no,
1234500312,Elsa,John,Lia,1985-01-17,no,
1234500313,Yago,David,Guerra,1990-12-13,no,
1234500314,Audenico,Louise,Cattaneo,1977-03-28,yes,1234556787
1234500315,Piccarda,Grace,Rizzo,1983-05-24,no,
1234500316,Ivonne,James,Messina,1975-05-11,no,
1234500317,Sig.ra,John,Valentini,1986-08-02,no,
1234500318,Fiorenzo,Louise,Pellegrino,1981-09-14,yes,1234554554
1234500319,Enzo,David,Leone,1995-09-18,yes,1234554582
1234500320,Nayade,Thomas,Bernardi,1998-09-23,no,
1234500321,Domingo,Louise,Guendalina,1983-08-11,no,
1234500322,Egidio,Rose,Bernardi,1993-12-01,yes,1234550235
1234500323,Morgana,William,Battaglia,1993-09-13,yes,1234552379
1234500324,Kris,John,Colombo,1977-09-14,yes,1234551643
1234500325,Leonardo,David,Martini,1998-07-19,no,
1234500326,Samuel,Rose,Neri,1990-09-29,no,
1234500327,Dott.,Grace,Martini,1976-05-07,no,
1234500328,Alighiero,Jane,Greco,1983-11-24,no,
1234500329,Sig.,Grace,Serra,1994-11-25,no,
1234500330,Sig.ra,Grace,Sanna,1996-07-26,yes,1234555873
1234500331,Sig.ra,John,Barbieri,1992-01-17,no,
1234500332,Sig.,John,Martino,1996-01-13,yes,1234559859
1234500333,Laura,Grace,Sorrentino,1997-03-31,yes,1234551291
1234500334,Cosetta,Grace,Caio,1997-06-30,yes,1234558474
1234500335,Danny,William,Parisi,1990-05-29,no,
1234500336,Evita,William,Barbieri,1988-05-22,yes,1234556340
1234500337,Vania,Grace,Gatti,1994-10-26,no,
1234500338,Tancredi,James,Longo,1989-01-10,no,
1234500339,Mattia,Rose,Costa,1987-05-01,no,
1234500340,Serse,William,Conti,1979-05-27,no,
1234500341,Prisca,John,Sorrentino,1984-09-04,no,
1234500342,Raniero,William,Barone,1975-01-25,no,
1234500343,Sig.ra,John,Palmieri,1982-09-12,yes,1234558436
1234500344,Dott.,Thomas,Fontana,1998-01-27,yes,1234556429
1234500345,Sandro,David,Mariani,1983-01-20,no,
1234500346,Audenico,James,Martino,1989-01-13,no,
1234500347,Dott.,David,Ferrara,1981-01-07,yes,1234552804
1234500348,Dott.,John,Ferretti,1979-08-17,yes,1234558277
1234500349,Pietro,Grace,Rizzo,1977-07-18,yes,1234553886
1234500350,Sig.,Thomas,Moretti,1977-08-15,yes,1234558368
1234500351,Edilio,Thomas,Rossetti,1979-05-19,yes,1234550662
1234500352,Giulio,Grace,Bruno,1987-07-19,no,
1234500353,Sig.,Grace,Orlando,1975-06-30,yes,1234555955
1234500354,Naomi,Thomas,Gatti,1996-08-18,no,
1234500355,Rosolino,William,Rizzo,1998-07-12,no,
1234500356,Timothy,Grace,Silvestri,1994-06-21,yes,1234552876
1234500357,Sig.ra,John,Rizzo,1989-05-24,yes,1234551357
1234500358,Sig.ra,Louise,Mancini,1990-01-03,no,
1234500359,Dott.,David,Bianco,1985-12-31,yes,1234551438
1234500360,Ludovico,Thomas,Ferrari,1984-04-17,yes,1234559056
1234500361,Cira,John,Fabbri,1994-10-23,yes,1234557081
1234500362,Sig.ra,John,Morelli,1991-04-22,no,
1234500363,Vinicio,James,Villa,1983-08-07,yes,1234550820
1234500364,Ferdinando,William,Bellini,1998-09-27,yes,1234555322
1234500365,Lamberto,Grace,Messina,1977-06-30,no,
1234500366,Radio,Grace,Vitale,1983-04-02,no,
1234500367,Sig.ra,James,De,1981-08-02,yes,1234551153
1234500368,Isabel,James,Greco,1979-06-28,no,
1234500369,Alan,James,Galli,1990-07-27,no,
1234500370,Sig.ra,David,Ferretti,1988-08-31,no,
1234500371,Sig.ra,William,Esposito,1994-03-18,no,
1234500372,Filomena,Jane,Carbone,1975-02-16,no,
1234500373,Aroldo,Rose,Negri,1993-09-01,no,
1234500374,Ilario,Thomas,Bernardi,1988-01-27,yes,1234558041
1234500375,Ortensia,James,Monti,1992-05-21,yes,1234551770
1234500376,Secondo,Rose,Lombardo,1987-01-29,no,
1234500377,Ian,Rose,Lombardo,1995-01-29,yes,1234559607
1234500378,Mariapia,Louise,Barbieri,1982-02-03,yes,1234556686
1234500379,Sig.ra,John,Emidio,1988-02-15,yes,1234558020
1234500380,Sarita,Rose,Amato,1996-06-19,no,
1234500381,Pietro,Rose,Rinaldi,1975-01-21,yes,1234558293
1234500382,Leonardo,David,Marino,1993-08-19,yes,1234559623
1234500383,Osea,William,Costantini,1988-02-21,yes,1234557162
1234500384,Dott.,John,Bianchi,1998-07-06,yes,1234551781
1234500385,Graziano,Grace,Ruggiero,1979-05-27,yes,1234553695
1234500386,Enzo,Jane,Testa,1983-02-25,yes,1234558141
1234500387,Dott.,David,Giuliani,1993-07-09,yes,1234550542
1234500388,Radames,Jane,Ferri,1978-09-03,no,
1234500389,Danthon,Grace,Marcella,1979-04-12,no,
1234500390,Max,James,Russo,1991-08-08,no,
1234500391,Sig.,Grace,Martini,1983-08-04,yes,1234559987
1234500392,Sig.ra,Grace,Barone,1989-07-24,no,
1234500393,Cosetta,Grace,Farina,1994-01-24,no,
1234500394,Ferdinando,John,Negri,1986-05-13,yes,1234550729
1234500395,Boris,Louise,Martini,1976-11-06,no,
1234500396,Gabriele,Louise,D'angelo,1978-05-10,no,
1234500397,Antimo,Thomas,Neri,1989-05-13,no,
1234500398,Cristyn,Thomas,Rizzi,1981-08-13,yes,1234559629
1234500399,Dott.,Jane,Rinaldi,1995-11-12,yes,1234553803
1234500400,Alessandro,William,Lombardo,1987-01-18,yes,1234559047
1234500401,Cleopatra,Thomas,Testa,1986-09-28,yes,1234557297
1234500402,Dott.,William,Farina,1991-02-04,yes,1234556249
1234500403,Evita,Thomas,Basile,1993-10-22,no,
1234500404,Sig.,Louise,Milani,1978-11-10,no,
1234500405,Bortolo,Rose,Domingo,1980-06-06,no,
1234500406,Yago,Grace,Cristyn,1977-08-05,yes,1234556730
1234500407,Ivano,Thomas,Marino,1981-06-08,no,
1234500408,Sig.ra,David,De,1994-04-17,yes,1234556578
1234500409,Jelena,Grace,Milani,1989-12-08,no,
1234500410,Romolo,Jane,Santoro,1978-03-25,yes,1234551138
1234500411,Sig.ra,Jane,Milani,1980-03-11,yes,1234556497
1234500412,Lorenzo,Jane,Donati,1983-05-27,no,
1234500413,Ermes,John,Manuele,1994-11-05,yes,1234552850
1234500414,Egisto,John,Conti,1994-05-26,yes,1234554528
1234500415,Joseph,John,Kristel,1988-04-11,yes,1234553502
1234500416,Gianriccardo,James,Ruggiero,1989-07-29,no,
1234500417,Giacobbe,William,Tristano,1995-05-19,yes,1234550221
1234500418,Pierfrancesco,Rose,Basile,1976-04-08,no,
1234500419,Ortensia,Grace,Audenico,1977-12-11,yes,1234553109
1234500420,Manuele,David,Mauro,1977-05-09,no,
1234500421,Vienna,Grace,Damico,1978-01-22,no,
1234500422,Prisca,James,Rizzo,1992-11-16,no,
1234500423,Flaviana,William,Donati,1987-08-26,yes,1234558929
1234500424,Odino,Rose,Galli,1982-02-15,no,
1234500425,Piccarda,David,Pellegrini,1996-11-13,no,
1234500426,Edipo,Rose,Gatti,1998-07-26,no,
1234500427,Sig.,William,De,1994-01-18,no,
1234500428,Shaira,John,Negri,1988-09-07,no,
1234500429,Sig.,David,Ferri,1996-08-14,no,
1234500430,Osvaldo,James,Demi,1976-12-02,yes,1234555641
1234500431,Sig.,Grace,Orlando,1979-07-23,yes,1234554196
1234500432,Dott.,Jane,De,1989-03-01,no,
1234500433,Dott.,Jane,Moretti,1976-07-25,yes,1234553814
1234500434,Valdo,John,ellen,1977-08-13,no,
1234500435,Sig.ra,James,Marini,1993-02-20,yes,1234559563
1234500436,Eliziario,William,Fabbri,1985-03-26,no,
1234500437,Ariel,Louise,Giuliani,1985-07-30,yes,1234551575
1234500438,Nayade,Rose,Egidio,1982-07-29,no,
1234500439,Dott.,Jane,Ruggiero,1998-10-03,no,
1234500440,Vera,Louise,Fiore,1987-11-06,no,
1234500441,Rita,Thomas,Deborah,1994-11-23,no,
1234500442,Kayla,Grace,Bernardi,1975-05-30,no,
1234500443,Sig.ra,Grace,D'angelo,1997-05-03,no,
1234500444,Timothy,Thomas,Palumbo,1998-02-16,yes,1234551402
1234500445,Clodovea,David,Boris,1978-12-19,no,
1234500446,Davis,Jane,Sue,1984-08-22,no,
1234500447,Ciro,Grace,Pierfrancesco,1977-08-05,yes,1234551628
1234500448,Edipo,Grace,Leone,1991-08-23,no,
1234500449,Secondo,Louise,Leone,1988-07-09,yes,1234554958
1234500450,Dott.,Jane,Milani,1985-01-18,yes,1234559882
