Account Number,Transaction Posting date,Transaction capture date,Transaction amount,Debit or Credit,Transaction code,Transaction Currency
1234500814,2017-11-04,2017-11-04,393,C,2001,CAD
1234500411,2017-10-30,2017-10-30,1027,C,2001,HKD
1234500438,2017-12-16,2017-12-16,818,D,10001,HKD
1234500249,2017-07-17,2017-07-17,1004,D,10001,USD
1234500434,2018-03-09,2018-03-09,762,C,2001,CAD
1234500010,2017-09-10,2017-09-10,1334,D,10001,HKD
1234500863,2017-10-22,2017-10-22,725,C,2001,CAD
1234500592,2017-10-13,2017-10-13,566,C,2001,CAD
1234500478,2017-11-11,2017-11-11,455,C,2001,USD
1234500740,2017-11-01,2017-11-01,164,C,2001,INR
1234500791,2018-01-17,2018-01-17,1021,C,2001,HKD
1234500065,2017-07-06,2017-07-06,1462,D,10001,CAD
1234500258,2017-12-15,2017-12-15,209,C,2001,CAD
1234500104,2018-02-24,2018-02-24,1363,D,10001,HKD
1234500062,2017-12-19,2017-12-19,1268,C,2001,CAD
1234500072,2017-09-16,2017-09-16,1492,C,2001,INR
1234500049,2018-02-24,2018-02-24,157,C,2001,INR
1234500220,2018-02-23,2018-02-23,345,C,2001,CAD
1234500064,2017-09-07,2017-09-07,435,C,2001,INR
1234500457,2017-09-05,2017-09-05,1279,D,10001,USD
1234500423,2017-09-09,2017-09-09,1374,C,2001,CAD
1234500303,2017-09-14,2017-09-14,323,C,2001,INR
1234500300,2017-09-15,2017-09-15,583,C,2001,CAD
1234500202,2018-01-20,2018-01-20,1238,D,10001,CAD
1234500088,2017-11-04,2017-11-04,1040,D,10001,USD
1234500824,2017-10-15,2017-10-15,957,D,10001,USD
1234500028,2018-01-17,2018-01-17,271,C,2001,USD
1234500535,2017-11-11,2017-11-11,971,D,10001,USD
1234500216,2017-10-20,2017-10-20,683,C,2001,INR
1234500773,2018-01-03,2018-01-03,691,D,10001,INR
1234500142,2017-07-22,2017-07-22,1268,C,2001,USD
1234500249,2017-11-10,2017-11-10,481,C,2001,CAD
1234500833,2018-01-02,2018-01-02,1484,C,2001,INR
1234500613,2017-08-11,2017-08-11,1384,D,10001,USD
1234500917,2018-01-05,2018-01-05,755,C,2001,USD
1234500081,2017-07-16,2017-07-16,987,C,2001,CAD
1234500436,2017-11-21,2017-11-21,393,C,2001,CAD
1234500755,2017-07-28,2017-07-28,899,C,2001,HKD
1234500406,2017-10-12,2017-10-12,1402,D,10001,CAD
1234500480,2017-12-26,2017-12-26,225,C,2001,HKD
1234500010,2017-08-22,2017-08-22,1079,D,10001,CAD
1234500848,2017-10-23,2017-10-23,1213,C,2001,USD
1234500343,2017-07-21,2017-07-21,698,C,2001,HKD
1234500091,2017-10-26,2017-10-26,769,C,2001,HKD
1234500034,2017-09-13,2017-09-13,925,C,2001,INR
1234500390,2017-10-17,2017-10-17,903,D,10001,HKD
1234500850,2017-07-05,2017-07-05,1212,C,2001,HKD
1234500438,2017-12-04,2017-12-04,1474,D,10001,CAD
1234500458,2018-02-20,2018-02-20,190,C,2001,HKD
1234500563,2017-07-30,2017-07-30,1025,D,10001,INR
1234500720,2017-11-05,2017-11-05,1328,C,2001,USD
1234500717,2018-01-15,2018-01-15,330,C,2001,CAD
1234500509,2017-10-30,2017-10-30,284,C,2001,CAD
1234500237,2017-11-09,2017-11-09,1233,D,10001,HKD
1234500484,2018-02-25,2018-02-25,450,C,2001,USD
1234500902,2017-08-15,2017-08-15,1286,D,10001,CAD
1234500054,2018-02-23,2018-02-23,117,D,10001,CAD
1234500933,2018-03-25,2018-03-25,345,C,2001,USD
1234500671,2017-10-01,2017-10-01,1148,C,2001,INR
1234500963,2017-10-22,2017-10-22,985,D,10001,CAD
1234500623,2017-12-21,2017-12-21,1490,C,2001,USD
1234500448,2018-03-14,2018-03-14,1432,D,10001,INR
1234500483,2017-10-24,2017-10-24,474,D,10001,INR
1234500927,2017-11-30,2017-11-30,340,C,2001,INR
1234500187,2018-01-28,2018-01-28,1001,C,2001,INR
1234500575,2017-07-21,2017-07-21,455,D,10001,USD
1234500363,2017-11-27,2017-11-27,326,D,10001,USD
1234500478,2017-09-07,2017-09-07,599,C,2001,CAD
1234500216,2017-09-22,2017-09-22,1381,C,2001,INR
1234500336,2018-03-03,2018-03-03,1187,D,10001,INR
1234500520,2017-09-09,2017-09-09,332,D,10001,USD
1234500592,2017-09-29,2017-09-29,614,C,2001,USD
1234500134,2017-08-01,2017-08-01,521,D,10001,INR
1234500343,2018-03-05,2018-03-05,880,C,2001,HKD
1234500631,2017-10-14,2017-10-14,838,C,2001,CAD
1234500426,2018-03-26,2018-03-26,1210,D,10001,INR
1234500836,2017-07-06,2017-07-06,727,C,2001,HKD
1234500923,2017-11-29,2017-11-29,427,C,2001,USD
1234500242,2017-10-16,2017-10-16,766,C,2001,INR
1234500496,2018-02-11,2018-02-11,409,D,10001,INR
1234500385,2017-07-30,2017-07-30,1276,C,2001,INR
1234500580,2018-01-22,2018-01-22,460,C,2001,INR
1234500369,2017-11-03,2017-11-03,975,C,2001,USD
1234500949,2017-08-11,2017-08-11,672,C,2001,CAD
1234500492,2018-02-22,2018-02-22,1436,D,10001,USD
1234500114,2017-07-28,2017-07-28,1421,C,2001,USD
1234500398,2018-02-01,2018-02-01,697,D,10001,CAD
1234500222,2018-02-05,2018-02-05,1035,D,10001,USD
1234500567,2017-11-14,2017-11-14,1233,D,10001,HKD
1234500745,2017-09-20,2017-09-20,178,D,10001,CAD
1234500830,2017-12-30,2017-12-30,664,C,2001,USD
1234500289,2017-12-05,2017-12-05,730,C,2001,INR
1234500747,2017-08-11,2017-08-11,779,D,10001,HKD
1234500902,2017-12-20,2017-12-20,1416,C,2001,HKD
1234500908,2018-03-16,2018-03-16,423,C,2001,USD
1234500736,2017-08-31,2017-08-31,1209,C,2001,INR
1234500642,2018-02-27,2018-02-27,863,D,10001,HKD
1234500201,2018-01-06,2018-01-06,755,C,2001,HKD
1234500848,2018-02-07,2018-02-07,611,C,2001,USD
1234500827,2017-12-19,2017-12-19,910,C,2001,INR
1234500664,2017-09-24,2017-09-24,1221,D,10001,USD
1234500657,2018-03-05,2018-03-05,762,D,10001,HKD
1234500093,2017-12-30,2017-12-30,334,C,2001,CAD
1234500548,2018-03-13,2018-03-13,626,C,2001,USD
1234500567,2017-09-23,2017-09-23,174,C,2001,CAD
1234500623,2018-03-21,2018-03-21,248,C,2001,HKD
1234500987,2018-03-12,2018-03-12,237,C,2001,INR
1234500346,2018-01-13,2018-01-13,123,C,2001,INR
1234500366,2017-12-25,2017-12-25,823,D,10001,CAD
1234500031,2018-01-01,2018-01-01,203,D,10001,HKD
1234500368,2017-10-14,2017-10-14,739,D,10001,USD
1234500552,2018-01-15,2018-01-15,531,D,10001,USD
1234500312,2018-02-20,2018-02-20,1235,C,2001,INR
1234500396,2017-11-18,2017-11-18,1204,C,2001,CAD
1234500289,2017-12-31,2017-12-31,128,C,2001,USD
1234500907,2017-09-17,2017-09-17,709,C,2001,HKD
1234500101,2018-01-10,2018-01-10,1032,D,10001,USD
1234500691,2017-08-01,2017-08-01,1412,C,2001,CAD
1234500386,2017-07-27,2017-07-27,911,C,2001,CAD
1234500066,2017-11-21,2017-11-21,794,D,10001,CAD
1234500388,2017-09-21,2017-09-21,1397,C,2001,CAD
1234500530,2017-08-24,2017-08-24,1230,D,10001,INR
1234500598,2017-07-13,2017-07-13,1299,C,2001,HKD
1234500708,2017-10-14,2017-10-14,1326,D,10001,HKD
1234500891,2017-12-12,2017-12-12,1185,C,2001,CAD
1234500298,2017-11-19,2017-11-19,1430,C,2001,CAD
1234500282,2017-09-08,2017-09-08,480,C,2001,INR
1234500065,2017-10-09,2017-10-09,1057,C,2001,CAD
1234500938,2017-11-22,2017-11-22,311,D,10001,HKD
1234500379,2018-02-21,2018-02-21,1186,D,10001,HKD
1234500491,2017-09-14,2017-09-14,995,D,10001,HKD
1234500333,2018-03-28,2018-03-28,1197,C,2001,INR
1234500377,2017-10-23,2017-10-23,1214,C,2001,USD
1234500545,2017-11-10,2017-11-10,285,C,2001,HKD
1234500439,2017-11-29,2017-11-29,1230,D,10001,CAD
1234500840,2017-09-22,2017-09-22,816,D,10001,HKD
1234500862,2017-10-05,2017-10-05,684,C,2001,USD
1234500230,2018-02-21,2018-02-21,242,C,2001,HKD
1234500406,2017-10-26,2017-10-26,962,D,10001,HKD
1234500279,2017-08-21,2017-08-21,134,D,10001,USD
1234500389,2017-07-18,2017-07-18,630,D,10001,USD
1234500117,2017-10-26,2017-10-26,268,D,10001,INR
1234500523,2017-08-30,2017-08-30,1470,D,10001,INR
1234500345,2018-01-29,2018-01-29,1109,C,2001,HKD
1234500164,2018-03-23,2018-03-23,108,D,10001,HKD
1234500693,2017-10-28,2017-10-28,1018,D,10001,HKD
1234500893,2017-12-23,2017-12-23,146,C,2001,INR
1234500720,2017-11-26,2017-11-26,557,C,2001,INR
1234500472,2017-10-06,2017-10-06,1430,C,2001,USD
1234500522,2017-10-13,2017-10-13,546,D,10001,USD
1234500968,2017-11-08,2017-11-08,510,D,10001,CAD
1234500453,2017-07-09,2017-07-09,420,D,10001,HKD
1234500135,2018-01-25,2018-01-25,534,C,2001,HKD
1234500683,2017-09-17,2017-09-17,834,D,10001,HKD
1234500384,2017-12-14,2017-12-14,135,C,2001,CAD
1234500746,2017-08-25,2017-08-25,1180,D,10001,USD
1234500707,2018-03-21,2018-03-21,426,D,10001,HKD
1234500559,2017-09-30,2017-09-30,928,D,10001,USD
1234500671,2018-01-26,2018-01-26,194,C,2001,INR
1234500413,2018-01-01,2018-01-01,717,C,2001,CAD
1234500685,2017-11-23,2017-11-23,492,C,2001,USD
1234500380,2018-02-23,2018-02-23,1311,C,2001,USD
1234500363,2017-11-08,2017-11-08,1374,D,10001,HKD
1234500885,2017-08-05,2017-08-05,557,C,2001,CAD
1234500026,2018-03-04,2018-03-04,1175,C,2001,HKD
1234500116,2017-10-10,2017-10-10,1213,D,10001,HKD
1234500398,2017-10-19,2017-10-19,802,D,10001,HKD
1234500762,2017-12-24,2017-12-24,1440,D,10001,HKD
1234500424,2017-09-13,2017-09-13,1497,C,2001,HKD
1234500713,2017-12-02,2017-12-02,199,C,2001,USD
1234500361,2018-01-07,2018-01-07,581,D,10001,HKD
1234500026,2017-08-24,2017-08-24,777,C,2001,HKD
1234500731,2017-10-28,2017-10-28,1437,D,10001,USD
1234500626,2017-12-04,2017-12-04,396,D,10001,CAD
1234500030,2018-02-14,2018-02-14,927,D,10001,USD
1234500800,2018-01-07,2018-01-07,1120,D,10001,INR
1234500254,2017-10-31,2017-10-31,901,D,10001,INR
1234500766,2018-01-15,2018-01-15,638,D,10001,USD
1234500566,2017-11-05,2017-11-05,347,D,10001,USD
1234500709,2018-03-20,2018-03-20,1108,D,10001,HKD
1234500548,2017-07-27,2017-07-27,743,D,10001,HKD
1234500953,2017-12-18,2017-12-18,995,D,10001,CAD
1234500899,2017-10-23,2017-10-23,1406,D,10001,CAD
1234500172,2017-09-09,2017-09-09,453,C,2001,INR
1234500701,2017-12-03,2017-12-03,441,D,10001,INR
1234500371,2018-01-20,2018-01-20,1182,C,2001,USD
1234500767,2017-07-01,2017-07-01,1096,D,10001,INR
1234500975,2017-11-29,2017-11-29,478,D,10001,HKD
1234500435,2018-03-24,2018-03-24,162,C,2001,INR
1234500883,2017-10-05,2017-10-05,176,D,10001,HKD
1234500534,2017-08-08,2017-08-08,980,C,2001,CAD
1234500157,2017-12-17,2017-12-17,1472,D,10001,HKD
1234500389,2017-07-29,2017-07-29,745,D,10001,CAD
1234500604,2017-10-01,2017-10-01,264,C,2001,HKD
1234500105,2017-11-30,2017-11-30,1327,C,2001,CAD
