Account Number,Account Opening Balance,Ledger Balance,Clearing Hold,Account status code,Country Code,Account Currency
1234500055,9580,184238,938,8,USA,USD
1234500056,926832,958631,746,8,USA,USD
1234500057,153817,454746,638,8,USA,USD
1234500058,48933,796468,754,8,IND,INR
1234500059,806325,509495,825,8,IND,INR
1234500060,296968,966496,849,8,IND,INR
1234500061,315835,614169,433,8,IND,INR
1234500062,816805,630888,781,8,IND,INR
1234500063,241342,908407,688,8,IND,INR
1234500064,972928,127015,777,8,IND,INR
1234500065,830449,972295,371,8,IND,INR
1234500066,773087,943372,898,8,IND,INR
1234500067,265062,522426,708,8,IND,INR
1234500068,687680,914573,128,8,IND,INR
1234500069,424370,695799,642,8,IND,INR
1234500070,629404,517509,467,8,IND,INR
1234500071,926146,530363,514,8,IND,INR
1234500072,641499,811079,661,8,USA,USD
1234500073,416374,418129,385,8,USA,USD
1234500074,238889,979127,979,8,USA,USD
1234500075,694526,31631,361,8,USA,USD
1234500076,506126,124542,479,8,USA,USD
1234500077,34137,776481,791,8,USA,USD
1234500078,621719,950946,177,8,USA,USD
1234500079,247582,529138,507,8,USA,USD
1234500080,681686,476049,607,8,USA,USD
1234500081,617349,256666,971,8,USA,USD
1234500082,76268,413153,906,8,USA,USD
1234500083,580780,699857,240,8,USA,USD
1234500084,197670,731431,986,8,IND,INR
1234500085,52450,383783,113,8,IND,INR
1234500086,423529,70190,839,8,IND,INR
1234500087,516568,220531,475,8,IND,INR
1234500088,334869,300136,736,8,IND,INR
1234500089,885092,769798,658,8,IND,INR
1234500090,1046,755704,977,8,IND,INR
1234500091,197897,451813,384,8,IND,INR
1234500092,100085,486832,526,8,IND,INR
1234500093,912807,810108,499,5,IND,INR
1234500094,837399,515948,508,5,IND,INR
1234500095,357182,813941,938,5,IND,INR
1234500096,983016,133261,161,5,IND,INR
1234500097,524241,402061,722,5,IND,INR
1234500098,352263,636904,485,5,USA,USD
1234500099,891230,175895,872,5,USA,USD
1234500100,440131,453517,500,5,USA,USD
1234500101,69460,685104,975,5,USA,USD
1234500102,728919,432048,476,5,USA,USD
1234500103,189546,836722,683,5,USA,USD
1234500104,288013,459565,660,5,USA,USD
1234500105,62539,20851,802,5,USA,USD
1234500106,784719,685089,853,5,USA,USD
1234500107,279922,929722,955,5,USA,USD
1234500108,963051,545579,768,5,USA,USD
1234500109,55192,136928,806,5,USA,USD
1234500110,224480,132134,545,5,IND,INR
1234500111,826017,356151,719,5,CAN,CAD
1234500112,187894,744256,231,5,CAN,CAD
1234500113,974174,429616,782,5,CAN,CAD
1234500114,996212,156072,992,5,CAN,CAD
1234500115,273549,31702,434,5,CAN,CAD
1234500116,894677,416334,534,5,CAN,CAD
1234500117,157017,39223,949,5,CAN,CAD
1234500118,56806,121636,746,5,CAN,CAD
1234500119,118934,340618,881,8,CAN,CAD
1234500120,805395,123290,970,8,CAN,CAD
1234500121,31691,707278,823,8,CAN,CAD
1234500122,176282,982955,538,8,CAN,CAD
1234500123,895440,266344,684,8,CAN,CAD
1234500124,609932,357183,146,8,CAN,CAD
1234500125,352803,581092,677,1,CAN,CAD
1234500126,286297,300400,400,1,CAN,CAD
1234500127,611557,983291,418,1,CAN,CAD
1234500128,36249,607371,104,1,CAN,CAD
1234500129,749519,613259,196,1,CAN,CAD
1234500130,582038,388268,745,1,CAN,CAD
1234500131,598191,371860,943,1,USA,USD
1234500132,38674,163753,115,1,USA,USD
1234500133,847217,561202,243,1,USA,USD
1234500134,526253,546736,161,1,USA,USD
1234500135,899058,66014,995,1,IND,INR
1234500136,202300,72955,653,1,IND,INR
1234500137,906034,27525,814,1,IND,INR
1234500138,997228,843871,904,1,IND,INR
1234500139,532581,517770,127,1,IND,INR
1234500140,929561,136974,469,1,IND,INR
1234500141,910209,692619,586,5,IND,INR
1234500142,78913,690433,509,5,IND,INR
1234500143,793247,640742,394,5,IND,INR
1234500144,228970,892738,352,5,IND,INR
1234500145,586565,985585,342,5,IND,INR
1234500146,373999,11674,623,5,IND,INR
1234500147,922671,942000,166,5,IND,INR
1234500148,885084,856727,294,5,IND,INR
1234500149,811974,812039,413,5,IND,INR
1234500150,532827,872832,872,5,IND,INR
1234500151,751827,584219,184,5,IND,INR
1234500152,836658,968427,757,5,IND,INR
1234500153,420385,779874,619,5,IND,INR
1234500154,190068,813441,868,8,IND,INR
1234500155,17571,77840,250,8,IND,INR
1234500156,788432,970557,907,8,IND,INR
1234500157,99143,347654,828,8,IND,INR
1234500158,671090,911902,339,8,IND,INR
1234500159,728098,609362,342,8,IND,INR
1234500160,99110,878495,186,8,IND,INR
1234500161,723766,698721,947,8,IND,INR
1234500162,380956,333243,399,8,IND,INR
1234500163,89238,371995,319,8,USA,USD
1234500164,544685,751780,239,8,USA,USD
1234500165,864999,104056,775,8,USA,USD
1234500166,377362,524751,473,8,USA,USD
1234500167,599055,12524,991,8,IND,INR
1234500168,269015,84910,510,8,IND,INR
1234500169,603404,381831,774,8,IND,INR
1234500170,270071,328840,155,8,IND,INR
1234500171,326911,402384,766,8,IND,INR
1234500172,770778,370398,369,8,IND,INR
1234500173,484439,982250,744,8,IND,INR
1234500174,612502,847431,571,8,IND,INR
1234500175,139780,384434,286,8,IND,INR
1234500176,288826,376642,445,8,IND,INR
1234500177,552711,237093,697,8,IND,INR
1234500178,422841,270592,795,8,IND,INR
1234500179,987487,443110,130,8,IND,INR
1234500180,778375,768084,339,8,IND,INR
1234500181,619056,848749,462,8,IND,INR
1234500182,488808,179084,855,5,IND,INR
1234500183,765802,534545,789,5,IND,INR
1234500184,191376,327051,408,5,IND,INR
1234500185,974193,105518,754,5,IND,INR
1234500186,467595,642025,628,5,IND,INR
1234500187,658316,133786,784,5,IND,INR
1234500188,499139,917171,627,5,IND,INR
1234500189,693789,17880,510,5,IND,INR
1234500190,268121,10938,133,5,IND,INR
1234500191,106397,255347,993,5,IND,INR
1234500192,335969,545431,745,5,IND,INR
1234500193,297327,814268,277,5,IND,INR
1234500194,902003,843540,354,5,IND,INR
1234500195,756889,709055,117,1,USA,USD
1234500196,210171,135590,871,1,USA,USD
1234500197,477699,96390,434,1,USA,USD
1234500198,204393,928504,948,1,USA,USD
1234500199,158584,295144,405,1,USA,USD
1234500200,14863,643688,478,1,USA,USD
1234500201,996698,558076,672,1,USA,USD
1234500202,650748,738367,949,1,USA,USD
1234500203,755987,263825,737,1,USA,USD
1234500204,435691,758426,694,1,USA,USD
1234500205,455256,299156,632,1,CAN,CAD
1234500206,402490,551576,489,1,CAN,CAD
1234500207,826852,802085,361,1,CAN,CAD
1234500208,476245,388063,362,1,CAN,CAD
1234500209,833725,129013,837,1,CAN,CAD
1234500210,237433,92811,227,1,CAN,CAD
1234500211,166909,983946,464,1,CAN,CAD
1234500212,393837,238190,264,1,CAN,CAD
1234500213,688933,416325,687,1,CAN,CAD
1234500214,228511,975320,581,1,CAN,CAD
1234500215,967442,54045,601,1,CAN,CAD
1234500216,886105,903143,923,1,CAN,CAD
1234500217,124692,463635,197,1,CAN,CAD
1234500218,193,947000,736,1,CAN,CAD
1234500219,657316,42432,708,1,CAN,CAD
1234500220,730712,870787,849,1,CAN,CAD
1234500221,119352,801735,303,1,CAN,CAD
1234500222,898231,659752,335,1,CAN,CAD
1234500223,414837,30723,890,1,CAN,CAD
1234500224,843839,533189,339,1,CAN,CAD
1234500225,614712,942934,120,1,USA,USD
1234500226,592872,891635,483,1,USA,USD
1234500227,580785,579658,744,5,IND,INR
1234500228,148257,575659,624,5,IND,INR
1234500229,462089,288644,690,5,IND,INR
1234500230,747480,353041,587,5,IND,INR
1234500231,582943,148085,831,5,IND,INR
1234500232,947300,154608,835,5,IND,INR
1234500233,588913,598633,861,5,IND,INR
1234500234,583012,421446,706,5,IND,INR
1234500235,969636,573522,128,5,IND,INR
1234500236,767061,973944,114,5,IND,INR
1234500237,145876,548774,956,5,IND,INR
1234500238,885063,753701,245,5,IND,INR
1234500239,556754,539311,704,5,IND,INR
1234500240,830407,434450,365,8,IND,INR
1234500241,873706,643100,996,8,IND,INR
1234500242,332500,346831,432,8,IND,INR
1234500243,43723,453167,879,8,IND,INR
1234500244,90501,406052,987,8,IND,INR
1234500245,108008,982818,866,1,IND,INR
1234500246,826441,800105,807,1,IND,INR
1234500247,350003,707958,529,1,IND,INR
1234500248,576308,92962,776,1,IND,INR
1234500249,671308,357699,139,1,IND,INR
1234500250,688604,702767,428,1,IND,INR
1234500251,103285,657981,817,1,IND,INR
1234500252,791723,964322,135,1,IND,INR
1234500253,10656,377569,948,1,IND,INR
1234500254,346855,841409,526,1,IND,INR
1234500255,801768,34278,607,1,CAN,CAD
1234500256,209243,143048,529,1,CAN,CAD
1234500257,69879,964587,625,1,CAN,CAD
1234500258,864296,312348,234,1,CAN,CAD
1234500259,607431,530447,819,1,CAN,CAD
1234500260,538704,782338,920,1,CAN,CAD
1234500261,689366,243594,448,8,CAN,CAD
1234500262,737244,487541,641,8,CAN,CAD
1234500263,674165,151276,626,8,CAN,CAD
1234500264,489295,694730,162,8,USA,USD
1234500265,834450,847296,526,8,USA,USD
1234500266,70318,287741,314,8,USA,USD
1234500267,141012,70932,779,8,USA,USD
1234500268,62983,311469,631,8,USA,USD
1234500269,270230,238932,979,8,USA,USD
1234500270,25791,44695,304,8,USA,USD
1234500271,829408,567267,467,8,USA,USD
1234500272,383232,863703,272,8,USA,USD
1234500273,294660,848429,955,8,USA,USD
1234500274,710300,108692,973,8,USA,USD
1234500275,628309,128849,960,8,USA,USD
1234500276,126128,370245,576,8,IND,INR
1234500277,895118,678745,755,8,IND,INR
1234500278,307344,664046,412,8,IND,INR
1234500279,889232,471110,796,8,IND,INR
1234500280,623819,604755,362,8,IND,INR
1234500281,132447,743931,532,8,IND,INR
1234500282,599142,821901,174,8,IND,INR
1234500283,538779,540956,787,8,IND,INR
1234500284,939035,429634,446,8,IND,INR
1234500285,638090,237893,345,8,IND,INR
1234500286,837707,70991,647,8,IND,INR
1234500287,154237,508760,697,8,IND,INR
1234500288,466225,462886,891,8,USA,USD
1234500289,751673,869645,667,8,USA,USD
1234500290,49515,390211,434,8,USA,USD
1234500291,378771,518964,885,8,USA,USD
1234500292,439921,539186,453,8,USA,USD
1234500293,884400,61708,996,8,USA,USD
1234500294,405,469270,811,8,USA,USD
1234500295,779346,461713,261,8,USA,USD
1234500296,338058,422853,183,8,USA,USD
1234500297,72816,74318,829,8,USA,USD
1234500298,734980,635282,320,8,USA,USD
1234500299,991507,458067,975,8,USA,USD
1234500300,488444,616249,903,8,CAN,CAD
1234500301,947581,13153,765,8,IND,INR
1234500302,339717,328821,697,8,CAN,CAD
1234500303,938785,885022,474,8,CAN,CAD
1234500304,754073,578732,119,8,CAN,CAD
1234500305,761831,752460,202,8,CAN,CAD
1234500306,302149,197147,980,8,CAN,CAD
1234500307,530682,960837,694,8,CAN,CAD
1234500308,217894,783842,857,8,CAN,CAD
1234500309,870064,209788,580,8,CAN,CAD
1234500310,281952,684565,610,8,CAN,CAD
1234500311,772847,102315,400,8,CAN,CAD
1234500312,585031,705608,394,8,CAN,CAD
1234500313,807594,561610,705,8,CAN,CAD
1234500314,957513,811139,630,8,CAN,CAD
1234500315,987491,43351,620,8,CAN,CAD
1234500316,861539,252835,479,8,CAN,CAD
1234500317,205112,596032,993,8,CAN,CAD
1234500318,885486,607239,558,8,CAN,CAD
1234500319,68466,420779,220,8,CAN,CAD
1234500320,159912,322335,791,8,CAN,CAD
1234500321,755305,377791,445,8,CAN,CAD
1234500322,35112,128852,225,8,USA,USD
1234500323,424178,582358,280,8,CAN,CAD
1234500324,115707,207310,305,8,CAN,CAD
1234500325,108270,351860,654,8,CAN,CAD
1234500326,438415,822274,190,8,CAN,CAD
1234500327,832564,117205,841,8,CAN,CAD
1234500328,248962,728232,700,5,CAN,CAD
1234500329,188894,395706,306,5,CAN,CAD
1234500330,50515,201854,707,5,CAN,CAD
1234500331,67339,438728,550,5,CAN,CAD
1234500332,26454,447650,353,5,CAN,CAD
1234500333,339750,54182,918,5,CAN,CAD
1234500334,263008,694244,384,5,CAN,CAD
1234500335,576961,435176,611,5,USA,USD
1234500336,140628,310363,411,5,USA,USD
1234500337,557972,833357,495,5,USA,USD
1234500338,881518,392441,938,5,USA,USD
1234500339,391998,16558,551,5,USA,USD
1234500340,994052,986709,989,5,USA,USD
1234500341,649102,908531,113,1,USA,USD
1234500342,787652,445810,895,1,USA,USD
1234500343,580117,974147,780,1,USA,USD
1234500344,272928,196393,592,1,USA,USD
1234500345,228335,809820,640,1,USA,USD
1234500346,894456,446591,982,1,USA,USD
1234500347,604344,515681,253,1,IND,INR
1234500348,826278,45177,153,1,IND,INR
1234500349,775096,719720,201,1,IND,INR
1234500350,270719,409621,370,1,IND,INR
1234500351,262678,652217,855,1,IND,INR
1234500352,2381,279831,732,1,IND,INR
1234500353,50228,83078,769,1,IND,INR
1234500354,124621,620297,727,1,IND,INR
1234500355,731411,264388,643,1,IND,INR
1234500356,305772,439274,380,1,IND,INR
1234500357,75810,764022,396,1,IND,INR
1234500358,549265,189040,891,1,IND,INR
1234500359,20716,104648,548,1,IND,INR
1234500360,655901,640778,923,1,IND,INR
1234500361,753570,426351,382,1,IND,INR
1234500362,431693,896291,739,1,IND,INR
1234500363,520713,168565,647,1,IND,INR
1234500364,379776,537692,615,1,IND,INR
1234500365,768400,65674,578,1,IND,INR
1234500366,773470,69439,940,1,IND,INR
1234500367,602614,643666,187,1,IND,INR
1234500368,135508,359612,749,1,IND,INR
1234500369,995063,592661,107,1,IND,INR
1234500370,278708,961931,982,1,IND,INR
1234500371,713869,898291,850,1,IND,INR
1234500372,981424,246833,218,1,IND,INR
1234500373,310657,682039,150,1,IND,INR
1234500374,928046,62785,536,1,IND,INR
1234500375,606395,453912,352,1,CAN,CAD
1234500376,939386,167701,632,1,CAN,CAD
1234500377,7469,750224,422,1,CAN,CAD
1234500378,645893,618327,694,1,CAN,CAD
1234500379,324280,292607,972,1,CAN,CAD
1234500380,388192,51734,852,1,CAN,CAD
1234500381,382237,35446,197,1,CAN,CAD
1234500382,571283,994212,179,1,CAN,CAD
1234500383,339962,963191,522,1,CAN,CAD
1234500384,114615,916289,377,1,CAN,CAD
1234500385,811535,633284,183,1,USA,USD
1234500386,285275,463054,289,1,USA,USD
1234500387,683949,55380,313,1,USA,USD
1234500388,261998,5536,745,1,USA,USD
1234500389,923503,525397,206,1,USA,USD
1234500390,155312,79287,900,1,USA,USD
1234500391,66429,961595,296,1,USA,USD
1234500392,523871,526782,102,1,USA,USD
1234500393,520690,861782,935,1,USA,USD
1234500394,178899,365752,199,1,USA,USD
1234500395,144755,666760,506,1,USA,USD
1234500396,664224,873608,663,1,USA,USD
1234500397,192648,303765,591,1,IND,INR
1234500398,114882,466610,563,1,IND,INR
1234500399,73590,545106,534,1,IND,INR
1234500400,734513,430475,290,1,IND,INR
1234500401,441040,406456,650,8,IND,INR
1234500402,108933,11740,627,8,IND,INR
1234500403,424391,432683,312,8,IND,INR
1234500404,474347,611521,971,8,IND,INR
1234500405,74937,457373,843,8,CAN,CAD
1234500406,682708,156815,660,8,CAN,CAD
1234500407,193564,417620,744,8,CAN,CAD
1234500408,457772,51588,711,8,CAN,CAD
1234500409,402929,322157,796,8,CAN,CAD
1234500410,144826,99489,257,8,CAN,CAD
1234500411,832686,612006,667,8,CAN,CAD
1234500412,86204,289118,210,8,CAN,CAD
1234500413,687811,550586,866,8,CAN,CAD
1234500414,254215,759126,842,8,CAN,CAD
1234500415,763743,153972,926,8,CAN,CAD
1234500416,702385,323549,314,8,CAN,CAD
1234500417,66330,487315,991,8,CAN,CAD
1234500418,176610,826432,352,5,CAN,CAD
1234500419,237957,6485,133,5,CAN,CAD
1234500420,762943,416112,653,5,CAN,CAD
1234500421,339943,309496,752,5,CAN,CAD
1234500422,5670,739530,985,5,CAN,CAD
1234500423,483060,621244,506,5,CAN,CAD
1234500424,883306,410089,686,5,CAN,CAD
1234500425,890605,933974,242,5,CAN,CAD
1234500426,662442,840211,202,5,CAN,CAD
1234500427,420374,919750,361,5,CAN,CAD
1234500428,208571,380790,906,5,CAN,CAD
1234500429,57144,862240,487,5,CAN,CAD
1234500430,336712,159883,815,5,CAN,CAD
1234500431,585721,289933,723,8,CAN,CAD
1234500432,885430,409751,326,8,CAN,CAD
1234500433,45331,472495,653,1,CAN,CAD
1234500434,608651,484673,331,1,CAN,CAD
1234500435,457296,674806,259,1,USA,USD
1234500436,980934,843275,346,1,USA,USD
1234500437,794275,5370,100,1,USA,USD
1234500438,22674,172955,277,1,USA,USD
1234500439,409310,534996,214,1,USA,USD
1234500440,331872,662226,336,1,USA,USD
1234500441,349270,581158,624,1,USA,USD
1234500442,69976,862658,478,1,USA,USD
1234500443,340570,711687,453,1,USA,USD
1234500444,267821,291290,476,1,USA,USD
1234500445,272755,368051,141,1,USA,USD
1234500446,718199,102772,734,1,USA,USD
1234500447,360391,151191,388,1,IND,INR
1234500448,340064,455690,394,1,IND,INR
1234500449,941969,574015,458,1,IND,INR
1234500450,561408,830090,731,1,IND,INR
1234500451,84879,47961,487,1,IND,INR
1234500452,5783,916367,999,1,IND,INR
1234500453,377161,63680,237,1,IND,INR
1234500454,13259,817615,774,1,IND,INR
1234500455,958450,586376,636,1,IND,INR
1234500456,471487,13396,616,1,IND,INR
1234500457,268716,939439,443,1,IND,INR
1234500458,895996,523232,145,1,CAN,CAD
1234500459,970049,27427,849,1,USA,USD
1234500460,436031,596557,500,1,USA,USD
1234500461,364769,404811,158,1,USA,USD
1234500462,87275,552487,245,1,USA,USD
1234500463,298872,316698,296,1,USA,USD
1234500464,181753,284959,196,1,USA,USD
1234500465,918835,268724,887,1,USA,USD
1234500466,958360,254780,473,1,USA,USD
1234500467,894154,993117,638,1,USA,USD
1234500468,389684,936306,285,1,USA,USD
1234500469,234283,614475,559,1,USA,USD
1234500470,11166,720607,375,1,CAN,CAD
1234500471,779543,809603,507,1,CAN,CAD
1234500472,167502,688413,255,1,CAN,CAD
1234500473,619786,220474,867,1,CAN,CAD
1234500474,97048,798006,540,1,CAN,CAD
1234500475,398436,389404,226,1,CAN,CAD
1234500476,653860,536365,638,1,CAN,CAD
1234500477,286188,502465,343,1,CAN,CAD
1234500478,52098,98175,540,1,CAN,CAD
1234500479,217739,370033,421,1,CAN,CAD
1234500480,829278,566799,670,1,CAN,CAD
1234500481,769162,919497,153,1,CAN,CAD
1234500482,898478,791701,629,1,CAN,CAD
1234500483,714760,994701,216,1,CAN,CAD
1234500484,90540,542526,458,1,CAN,CAD
1234500485,833153,588802,670,1,CAN,CAD
1234500486,234889,846950,150,1,CAN,CAD
1234500487,476131,246637,610,1,CAN,CAD
1234500488,962734,498004,923,1,CAN,CAD
1234500489,492774,365157,688,1,CAN,CAD
1234500490,886705,939136,114,1,CAN,CAD
1234500491,274974,96807,334,1,IND,INR
1234500492,349212,65338,724,1,IND,INR
1234500493,146254,415920,230,1,IND,INR
1234500494,325445,87881,948,1,IND,INR
1234500495,983971,998078,609,1,IND,INR
1234500496,701938,99580,185,1,IND,INR
1234500497,746268,191746,510,5,IND,INR
1234500498,665377,367824,563,5,IND,INR
1234500499,664675,553451,134,5,IND,INR
1234500500,746419,959487,871,5,IND,INR
1234500501,241909,24165,210,5,IND,INR
1234500502,657476,755168,262,5,IND,INR
1234500503,657842,608611,784,5,IND,INR
1234500504,117090,769995,539,5,IND,INR
1234500505,744877,896359,981,5,USA,USD
1234500506,742499,649015,335,5,USA,USD
1234500507,278603,471073,908,5,USA,USD
1234500508,175034,929747,436,5,USA,USD
1234500509,142474,289912,459,5,USA,USD
1234500510,146223,468710,119,8,USA,USD
1234500511,997282,831979,478,8,USA,USD
1234500512,731193,875211,421,8,USA,USD
1234500513,339137,284955,362,8,USA,USD
1234500514,780475,466076,617,8,USA,USD
1234500515,667783,738722,596,8,USA,USD
1234500516,494464,18854,810,8,USA,USD
1234500517,967797,580131,891,8,CAN,CAD
1234500518,877086,367288,146,8,CAN,CAD
1234500519,266455,215183,665,8,CAN,CAD
1234500520,691103,693790,622,8,CAN,CAD
1234500521,558417,669532,715,8,CAN,CAD
1234500522,619981,221160,964,8,CAN,CAD
1234500523,949237,365886,500,8,CAN,CAD
1234500524,340456,409441,940,8,CAN,CAD
1234500525,621450,14095,673,8,CAN,CAD
1234500526,455358,906165,539,8,CAN,CAD
1234500527,608336,887018,337,8,CAN,CAD
1234500528,827915,804888,312,8,CAN,CAD
1234500529,476805,521625,490,8,USA,USD
1234500530,574577,953399,953,5,USA,USD
1234500531,466299,557046,666,5,USA,USD
1234500532,368738,836649,730,5,USA,USD
1234500533,75737,713938,791,5,USA,USD
1234500534,599129,199763,139,5,USA,USD
1234500535,480216,314742,503,5,USA,USD
1234500536,139281,708275,400,5,USA,USD
1234500537,279243,516895,748,5,USA,USD
1234500538,924495,302719,589,5,USA,USD
1234500539,309704,130529,359,5,USA,USD
1234500540,346848,466724,533,5,USA,USD
1234500541,628831,228848,168,5,IND,INR
1234500542,161118,506793,642,5,IND,INR
1234500543,743996,184204,704,1,IND,INR
1234500544,241786,344508,854,1,IND,INR
1234500545,359571,37206,688,1,IND,INR
1234500546,354063,906207,768,1,IND,INR
1234500547,167745,675663,758,1,IND,INR
1234500548,43348,81175,896,1,IND,INR
1234500549,546970,170771,482,1,IND,INR
1234500550,427881,834194,933,1,IND,INR
1234500551,710716,600026,820,1,IND,INR
1234500552,384734,430350,386,1,IND,INR
1234500553,79675,563018,296,1,IND,INR
1234500554,535795,282232,177,1,IND,INR
1234500555,318176,86161,988,1,IND,INR
1234500556,579363,619985,378,1,IND,INR
1234500557,786881,953782,418,1,IND,INR
1234500558,960757,622962,531,1,IND,INR
1234500559,214848,843687,897,1,IND,INR
1234500560,23460,51983,805,1,IND,INR
1234500561,71258,431693,653,1,IND,INR
1234500562,340874,579387,166,1,IND,INR
1234500563,298960,974419,627,1,IND,INR
1234500564,78843,861351,505,1,IND,INR
1234500565,521683,189155,226,1,IND,INR
1234500566,516497,387514,793,1,IND,INR
1234500567,17039,973950,432,1,IND,INR
1234500568,264515,390136,963,1,IND,INR
1234500569,266040,335136,269,5,CAN,CAD
1234500570,259075,470570,376,5,CAN,CAD
1234500571,159438,103638,741,5,CAN,CAD
1234500572,140221,285305,603,5,CAN,CAD
1234500573,640621,10301,487,5,CAN,CAD
1234500574,411680,437306,888,5,CAN,CAD
1234500575,629535,328018,468,5,CAN,CAD
1234500576,537052,808691,538,5,CAN,CAD
1234500577,973518,198328,431,5,CAN,CAD
1234500578,940352,719175,605,5,CAN,CAD
1234500579,586206,101686,469,5,CAN,CAD
1234500580,420974,297528,318,5,CAN,CAD
1234500581,628851,694054,433,5,IND,INR
1234500582,118308,979754,785,8,IND,INR
1234500583,502740,183805,847,8,IND,INR
1234500584,822492,528842,701,8,IND,INR
1234500585,756991,628254,573,8,IND,INR
1234500586,244081,557504,987,8,IND,INR
1234500587,898927,617794,486,8,IND,INR
1234500588,374327,338279,280,8,IND,INR
1234500589,859199,30042,601,8,IND,INR
1234500590,966475,79211,342,8,IND,INR
1234500591,519056,405073,461,8,IND,INR
1234500592,761517,570686,380,8,IND,INR
1234500593,311576,2316,177,8,IND,INR
1234500594,624349,275650,955,8,USA,USD
1234500595,772235,546114,585,8,USA,USD
1234500596,362140,516506,829,8,USA,USD
1234500597,82090,556402,615,8,USA,USD
1234500598,92302,890537,976,8,USA,USD
1234500599,713598,663663,467,8,USA,USD
1234500600,838828,526739,457,8,USA,USD
1234500601,987072,656738,750,8,USA,USD
1234500602,524824,266727,377,8,USA,USD
1234500603,824192,76675,265,8,USA,USD
1234500604,195215,243218,841,8,USA,USD
1234500605,197486,267152,157,8,USA,USD
1234500606,44009,59422,248,8,USA,USD
1234500607,999655,262755,334,8,USA,USD
1234500608,441374,331461,986,8,USA,USD
1234500609,970792,101680,421,8,USA,USD
1234500610,28643,107816,423,8,USA,USD
1234500611,102657,290617,949,8,USA,USD
1234500612,493176,543235,606,8,USA,USD
1234500613,281086,96481,943,8,USA,USD
1234500614,674504,685191,473,8,USA,USD
1234500615,42759,240732,328,8,CAN,CAD
1234500616,64613,715377,651,8,CAN,CAD
1234500617,855373,906864,389,8,CAN,CAD
1234500618,483395,250664,120,8,CAN,CAD
1234500619,6358,776863,129,8,CAN,CAD
1234500620,888963,869741,559,8,CAN,CAD
1234500621,855328,316285,660,8,CAN,CAD
1234500622,742822,348585,922,8,CAN,CAD
1234500623,941,284848,365,8,CAN,CAD
1234500624,970168,640569,547,8,CAN,CAD
1234500625,300287,3778,431,8,CAN,CAD
1234500626,745463,316303,407,8,CAN,CAD
1234500627,37085,295184,485,8,CAN,CAD
1234500628,596001,586915,972,8,CAN,CAD
1234500629,257946,473307,971,8,CAN,CAD
1234500630,260804,943832,649,8,CAN,CAD
1234500631,25583,365957,950,8,CAN,CAD
1234500632,966007,823536,771,8,CAN,CAD
1234500633,478398,252714,993,8,CAN,CAD
1234500634,499557,796260,503,8,USA,USD
1234500635,395737,76241,695,8,IND,INR
1234500636,174873,531643,106,8,IND,INR
1234500637,377986,992310,388,8,IND,INR
1234500638,107421,162232,390,8,IND,INR
1234500639,707458,776522,492,8,IND,INR
1234500640,55112,826757,340,8,IND,INR
1234500641,24811,612109,931,8,IND,INR
1234500642,783003,937375,778,8,IND,INR
1234500643,14486,913261,841,8,IND,INR
